time,open,high,low,close,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,🚫
1757572200,54833.6,54867.2,54829.8,54859.2,54811.80230835474,NaN,NaN,NaN,NaN,0
1757573100,54865.4,54928,54863.8,54915,54822.14255672157,54863.8,NaN,NaN,NaN,0
1757574000,54920,54920,54871,54876.6,54828.66548326121,NaN,NaN,NaN,NaN,0
1757574900,54884.4,54917,54874,54906.4,54837.500124754384,NaN,NaN,NaN,NaN,0
1757575800,54909.6,54920,54881,54890,54844.39179465611,NaN,NaN,NaN,NaN,0
1757576700,54895.8,54910,54865,54910,54852.59741927829,NaN,NaN,NaN,NaN,0
1757577600,54909.2,54922.4,54886.2,54915.8,54860.810519707054,NaN,NaN,54922.4,NaN,0
1757578500,54920.8,54935,54884,54907.4,54867.552885747806,NaN,NaN,NaN,NaN,0
1757579400,54907.4,54930,54891.6,54930,54875.649637342525,NaN,NaN,NaN,NaN,0
1757580300,54928.6,54941.6,54900,54900,54880.32272286631,NaN,NaN,NaN,NaN,0
1757581200,54900,54901.4,54827,54885,54882.95679199843,NaN,NaN,NaN,NaN,0
1757582100,54876.4,54911.6,54863.4,54892,54885.65069119067,NaN,NaN,NaN,NaN,0
1757583000,54893,54894.2,54863.2,54873,54886.12771200292,NaN,NaN,NaN,NaN,0
1757583900,54871,54894.6,54852.2,54865,54885.35867796738,NaN,NaN,NaN,NaN,0
1757584800,54879.6,54879.6,54879.6,54879.6,54885.48804799812,NaN,NaN,NaN,NaN,0
1757648700,54949.8,54970,54817.6,54890,54886.3137683128,NaN,NaN,NaN,NaN,0
1757649600,54890,54899.8,54831,54888,54886.73050617777,NaN,NaN,NaN,NaN,0
1757650500,54882.2,54949,54875.2,54931.2,54890.95669103065,NaN,NaN,NaN,NaN,0
1757651400,54931,54964.8,54930,54931,54895.051807534925,NaN,NaN,NaN,NaN,0
1757652300,54919.6,54925,54888,54917,54897.79745265708,NaN,NaN,NaN,NaN,0
1757653200,54918.8,54963.4,54906,54945,54902.866577846915,NaN,NaN,NaN,NaN,0
1757654100,54933.6,54955,54924.2,54929.8,54906.3194540129,NaN,NaN,NaN,NaN,0
1757655000,54927.4,54977,54925,54951,54911.442707065864,NaN,NaN,NaN,NaN,0
1757655900,54963.8,55028.4,54953.2,55025,54923.03057366624,54953.2,NaN,NaN,NaN,0
1757656800,55032,55071,55006.8,55013,54933.18011863499,NaN,NaN,NaN,NaN,0
1757657700,55010,55010,54968.2,54985,54940.31581178898,NaN,NaN,NaN,NaN,0
1757658600,54985,55019.8,54985,55000.4,54948.208910562316,NaN,NaN,NaN,NaN,0
1757659500,55015,55020,54992,55015,54956.7784922252,NaN,NaN,NaN,NaN,0
1757660400,55014.4,55040,55007,55010,54964.15980415054,NaN,NaN,55040,NaN,0
1757661300,55011.4,55023,54980,54986.8,54968.7909832498,NaN,NaN,NaN,NaN,0
1757662200,54983.4,55030.6,54974.8,55021.2,54975.83374796423,NaN,NaN,NaN,NaN,0
1757663100,55025,55040,55010,55024.8,54982.5629978381,NaN,NaN,NaN,NaN,0
1757664000,55024,55037.4,55000,55000,54986.34422456152,NaN,NaN,NaN,NaN,0
1757664900,55002,55030,54971,55026.8,54991.9385800359,NaN,NaN,NaN,NaN,0
1757665800,55025.4,55047.8,55008,55020,54996.34189418939,NaN,NaN,NaN,NaN,0
1757666700,55015.2,55026,54992,55020,55000.16602142467,NaN,NaN,NaN,NaN,0
1757667600,55020,55036,55002,55026.4,55004.10803481519,NaN,NaN,NaN,NaN,0
1757668500,55026.4,55030,55000,55004,55005.554418768756,NaN,NaN,NaN,NaN,0
1757669400,55005,55025,55004,55010.8,55007.189886162276,NaN,NaN,NaN,NaN,0
1757670300,55010,55020,55000,55008,55008.237915289326,NaN,NaN,NaN,NaN,0
1757907900,55070,55134.2,55021.2,55117,55018.93210691909,55021.2,NaN,NaN,NaN,0
1757908800,55125,55125,55042.2,55095,55027.278213907535,NaN,NaN,NaN,NaN,0
1757909700,55090,55133.4,55080.8,55100,55035.664562197715,NaN,NaN,NaN,NaN,0
1757910600,55100,55111,55052.6,55097,55043.31291126261,NaN,NaN,NaN,NaN,0
1757911500,55103.2,55122.2,55072,55107.8,55051.36567284141,NaN,NaN,NaN,NaN,0
1757912400,55106,55150,55094.6,55118,55059.78213717007,NaN,NaN,55150,NaN,0
1757913300,55121.8,55140.8,55088.8,55120.2,55067.79732316157,NaN,NaN,NaN,NaN,0
1757914200,55120,55135,55106.4,55119,55075.00287941272,NaN,NaN,NaN,NaN,0
1757915100,55120,55145,55091.6,55135,55083.00501698109,NaN,NaN,NaN,NaN,0
1757916000,55145,55150,55120,55129,55089.73234201939,NaN,NaN,NaN,NaN,0
1757916900,55119.4,55180,55119.4,55177.8,55100.11733415174,55119.4,NaN,NaN,NaN,0
1757917800,55179.8,55193.6,55150,55174,55109.470314522514,NaN,NaN,NaN,NaN,0
1757918700,55174,55175,55145,55172.6,55117.98601092489,NaN,NaN,NaN,NaN,0
1757919600,55174.8,55180,55159.4,55161,55124.65384217836,NaN,NaN,NaN,NaN,0
1757920500,55154.2,55155,55124.4,55145,55129.08546164496,NaN,NaN,NaN,NaN,0
1757921400,55141.8,55169.8,55136,55150,55133.264386557705,NaN,NaN,55169.8,NaN,0
1757922300,55150,55167.4,55131,55151.2,55136.924250366836,NaN,NaN,NaN,NaN,0
1757923200,55148.4,55148.4,55068.8,55097.6,55135.05375695507,NaN,NaN,NaN,NaN,0
1757924100,55109.8,55122.2,55086.8,55095,55132.455945030146,NaN,NaN,NaN,NaN,0
1757925000,55095,55116,55080,55111.8,55131.07803278609,NaN,NaN,NaN,NaN,0
1757925900,55093.8,55140,55085,55134.6,55131.521331974654,NaN,NaN,NaN,NaN,0
1757926800,55138,55168,55128.8,55145.6,55132.844603977166,NaN,NaN,NaN,NaN,0
1757927700,55142.6,55155.8,55122,55142.4,55133.78856453096,NaN,NaN,NaN,NaN,0
1757928600,55135,55142.4,55109.6,55120,55132.62147380727,NaN,NaN,NaN,NaN,0
1757929500,55115,55127.8,55100.8,55104,55129.9971597072,NaN,NaN,NaN,NaN,0
1757930400,55103.4,55103.4,55103.4,55103.4,55127.32704536379,NaN,NaN,NaN,NaN,0
1757994300,55073.4,55120,55055,55101,55124.51346547155,NaN,NaN,NaN,NaN,0
1757995200,55100.8,55175,55089.8,55172.4,55128.19096716788,NaN,NaN,NaN,NaN,0
